9.0A3T;STAL NARZ DZIOWA Z£OM GRUPA 3;material000012a8;ZK;TRUE;FALSE
9.1T;KATALIZATORY SAMOCHODOWE Z£OM;material000012a9;ZK;TRUE;FALSE
9.2T;W GLIKI SPIEKANE;material000012aa;ZK;TRUE;FALSE
10.0T;TRANSFORMATORY Z£OM;material000012ab;ZK;TRUE;FALSE
10.1T;SILNIKI ELEKTRYCZNE Z£OM;material000012ac;ZK;TRUE;FALSE
N10 WT;Z£OM METALI KOLOROWYCH Z WYSORTU;material000012ad;ZK;TRUE;FALSE
7.3DT;STAL CHROMOWA Z£OM - DRUT DSD;material000012ae;ZK;TRUE;FALSE
4.2PKT;ALUMINIUM PROFIL KOLOROWY Z£OM;material000012af;ZK;TRUE;FALSE
4.2BPT;ALUMINIUM BLACHY POPRODUKCYJNE Z£OM;material000012b0;ZK;TRUE;FALSE
1.0GT;Z£OM MIEDZI GRANULAT;material000012b1;ZK;TRUE;FALSE
1.6SDT;KABEL MIEDZIANY ZE STACJI DEMONTAØU;material000012b2;ZK;TRUE;FALSE
2.0SDT;MOSI•DZ Ø”£TY ZE STACJI DEMONTAØU;material000012b3;ZK;TRUE;FALSE
2.1SDT;MOSI•DZ POBIA£ ZE STACJI DEMONTAØU;material000012b4;ZK;TRUE;FALSE
2.3SDT;MOSI•DZ CH£ODNICE ZE STACJI DEMONTAØU Z£OM;material000012b5;ZK;TRUE;FALSE
4.2SDT;ALUMINIUM PLASTYKA ZE STACJI DEMONTAØU Z£OM;material000012b6;ZK;TRUE;FALSE
4.3SDT;ALUMINIUM ODLEW ZE STACJI DEMONTAØU Z£OM;material000012b7;ZK;TRUE;FALSE
4.3FSDT;ALUMINIUM FELGA ZE STACJI DEMONTAØU Z£OM;material000012b8;ZK;TRUE;FALSE
N10 MIX T;Z£OM METALI KOLOROWYCH MIX;material000012ba;ZK;FALSE;FALSE
4.2PT;ALUMINIUM PROFIL CZYSTY Z£OM;material000012bb;ZK;TRUE;FALSE
4.2CHSDT;ALUMINIUM CH£ODNICE ZE STACJI DEMONTAØU Z£OM;material000012bc;ZK;TRUE;FALSE
10.1 ZPT;Elementy z≥omowe pochodzπce z Zak≥adu Przetwarzania;material000012bd;ZK;TRUE;FALSE
N10 ZPB;Z≥om pochodzπcy z Zak≥adu Przetwarzania ZSEiE;material000012c3;ZC;TRUE;TRUE
1.7;MIEDè POZOSTA£E Z£OM;material000012ec;ZK;TRUE;TRUE
1.7T;MIEDè POZOSTA£E Z£OM;material000012ed;ZK;TRUE;TRUE
10.1AR;ALTERNATORY I ROZRUSZNIKI Z£OM;material000012ee;ZK;TRUE;TRUE
10.1ART;ALTERNATORY I ROZRUSZNIKI Z£OM;material000012ef;ZK;TRUE;TRUE
10.1W;WIRNIKI MIEDZIANE Z£OM;material000012f0;ZK;TRUE;TRUE
10.1WT;WIRNIKI MIEDZIANE Z£OM;material000012f1;ZK;TRUE;TRUE
10.1G;SILNIKI ELEKTRYCZNE POW.700 KG - GABARYT Z£OM;material000012f2;ZK;TRUE;TRUE
10.1GT;SILNIKI ELEKTRYCZNE POW.700 KG - GABARYT Z£OM;material000012f3;ZK;TRUE;TRUE
10.1S;SPR ØARKI OD LOD”WEK BEZ OLEJU (AGREGATY) Z£OM;material000012f4;ZK;TRUE;TRUE
10.1ST;SPR ØARKI OD LOD”WEK BEZ OLEJU (AGREGATY) Z£OM;material000012f5;ZK;TRUE;TRUE
2.0G;MOSI•DZ GATUNEK POPRODUKCYJNY Z£OM;material000012f6;ZK;TRUE;TRUE
2.0GT;MOSI•DZ GATUNEK POPRODUKCYJNY Z£OM;material000012f7;ZK;TRUE;TRUE
2.0W;MOSI•DZ W£OSY Z£OM;material000012f8;ZK;TRUE;TRUE
2.0WT;MOSI•DZ W£OSY Z£OM;material000012f9;ZK;TRUE;TRUE
2.4O;MOSI•DZ WI”RY OTOCZKA Z£OM;material000012fa;ZK;TRUE;TRUE
